Country,Region,Beneficiary Name,Total Budget,EU Contribution,Number of Projects,Transliterated NameBulgaria,Blagoevgrad Province,КАБРОН И ПЕКЕНЬО ООД,127024.68,86376.78,1,KABRON I PEKENЬO OOD,
Bulgaria,Blagoevgrad Province,ВИЕМЕНДИ ЕООД,119631.39,81349.32,1,VIEMENDI EOOD,
Bulgaria,Blagoevgrad Province,Municipality of Gotse Delchev,1929922.69,1640434.27,3,,
Bulgaria,Blagoevgrad Province,СДРУЖЕНИЕ "МЛАДЕЖКИ ИНИЦИАТИВИ ЗА РАЗВИТИЕ И ДИАЛОГ",99242.84,84356.42,1,SDRUZhENIE "MLADEZhKI INITsIATIVI ZA RAZVITIE I DIALOG",
Bulgaria,Blagoevgrad Province,ФОНДАЦИЯ "СТРАТОС",124395.0,105735.76,1,FONDATsIYa "STRATOS",
Bulgaria,Blagoevgrad Province,Община Якоруда,319750.36,285236.37,3,Obshtina Yakoruda,
Bulgaria,Blagoevgrad Province,ГАМА-КОМЕРС ООД,198862.91,152130.13,1,GAMA-KOMERS OOD,
Bulgaria,Blagoevgrad Province,Pirin Tourism Forum,107337.45,91236.82,1,,
Bulgaria,Blagoevgrad Province,Community center Yane Sandanski- 1928,1484978.0,1262231.3,1,,
Bulgaria,Blagoevgrad Province,Municipality of Sandanski,984794.62,674184.81,2,,
Bulgaria,Blagoevgrad Province,АРХ ЕМ СТУДИО ЕООД,95982.19,65267.87,1,ARH EM STUDIO EOOD,
Bulgaria,Blagoevgrad Province,Alliance of Producers of Ecological Energy-BG,339072.8,288211.88,1,,
Bulgaria,Blagoevgrad Province,ЕН ДЖИ БЕЙКЪРИ ЕООД,87387.54,70103.59,2,EN DZhI BEYKARI EOOD,
Bulgaria,Blagoevgrad Province,"АВАЛОН-52" ЕООД,85288.27,72495.04,1,"AVALON-52" EOOD,
Bulgaria,Blagoevgrad Province,"СТОМИ 79" ЕООД,197807.24,168136.16,1,"STOMI 79" EOOD,
Bulgaria,Blagoevgrad Province,община Белица,1159644.95,996205.54,7,obshtina Belitsa,
Bulgaria,Blagoevgrad Province,Kresna Municipality,835854.43,710476.27,1,,
Bulgaria,Blagoevgrad Province,СТУДИО ФОР ДИЗАЙН ЕООД,119622.18,81343.09,1,,
Bulgaria,Blagoevgrad Province,Нессенс ООД,117407.71,79837.25,1,Nessens OOD,
Bulgaria,Blagoevgrad Province,ЗИИУ СТАНДАРТ АД,321544.8,198123.81,2,ZIIU STANDART AD,
Bulgaria,Blagoevgrad Province,НУЕВА АРХИТЕКТУРА ЕООД,101259.78,68856.63,1,NUEVA ARHITEKTURA EOOD,
Bulgaria,Blagoevgrad Province,Municipality of Blagoevgrad,374390.68,318232.07,1,,
Bulgaria,Blagoevgrad Province,СДРУЖЕНИЕ "РЪКА ЗА РЪКА",101417.05,86204.5,1,SDRUZhENIE "RAKA ZA RAKA",
Bulgaria,Blagoevgrad Province,Средно училище "Св.св.Кирил и Методий",99568.55,84633.27,1,,
Bulgaria,Blagoevgrad Province,ОГНЯНОВО-К АД,1718109.75,648850.13,1,OGNYaNOVO-K AD,
Bulgaria,Blagoevgrad Province,ДИНАТСТРОЙ ООД,112862.1,95932.79,1,DINATSTROY OOD,
Bulgaria,Blagoevgrad Province,АЛФА КОТТОН ООД,318965.73,213658.32,2,ALFA KOTTON OOD,
Bulgaria,Blagoevgrad Province,МЕСОМАНИЯ ТРЕЙД ЕООД,198675.09,151986.44,1,MESOMANIYa TREYD EOOD,
Bulgaria,Blagoevgrad Province,ДИ ПИ ВЮ ЕООД,137784.97,117117.22,1,DI PI VYu EOOD,
Bulgaria,Blagoevgrad Province,VANITA-2,473939.8,261851.74,1,,
Bulgaria,Blagoevgrad Province,Eurointegra Association,1813453.85,1541435.77,2,,
Bulgaria,Blagoevgrad Province,Ministry of Tourism, Republic of Bulgaria,800144.63,680122.94,1,,
Bulgaria,Blagoevgrad Province,Alliance of the Producers of Ecological Energy - BG (SPEE - BG),119302.41,101407.04,1,,
Bulgaria,Blagoevgrad Province,Стоян Стреянев-ДС ЕТ,195054.55,165796.36,1,Stoyan Streyanev-DS ET,
Bulgaria,Blagoevgrad Province,СДРУЖЕНИЕ НА ЮГОЗАПАДНИТЕ ОБЩИНИ /СЮЗО/,145854.96,123976.72,1,,
Bulgaria,Blagoevgrad Province,Municipality of Simitli,1011737.58,859976.94,1,,
Bulgaria,Blagoevgrad Province,ХЮМАНКОНСУЛТИНГ ЕООД,165034.92,140279.68,1,HYuMANKONSULTING EOOD,
Bulgaria,Blagoevgrad Province,ВОЯ ФАСИОН ЕООД,84150.0,71527.5,1,VOYa FASION EOOD,
Bulgaria,Blagoevgrad Province,Сдружение с нестопанска цел "Сбъднати мечти",88952.98,75610.03,1,Sdruzhenie s nestopanska tsel "Sbadnati mechti",
Bulgaria,Blagoevgrad Province,ОБЩИНА РИЛА,1215063.2,1042584.39,3,OBShtINA RILA,
Bulgaria,Blagoevgrad Province,община Кресна,379408.32,331872.24,3,obshtina Kresna,
Bulgaria,Blagoevgrad Province,ОЗАРЕНИ ООД,105671.27,71856.47,1,OZARENI OOD,
Bulgaria,Blagoevgrad Province,Municipality of Petrich,399892.92,339908.98,1,,
Bulgaria,Blagoevgrad Province,Ю ЕКС ТЕСТ EООД,127500.0,86700.0,1,Yu EKS TEST EOOD,
Bulgaria,Blagoevgrad Province,Association Business Information and Consulting Center - Sandanski,113827.22,96753.13,1,,
Bulgaria,Blagoevgrad Province,ЕКО ПРОГРЕС,115316.1,98018.68,1,EKO PROGRES,
Bulgaria,Blagoevgrad Province,"ВОЛОВАР" ООД,87627.86,74483.68,1,"VOLOVAR" OOD,
Bulgaria,Blagoevgrad Province,"БИНЕР" ООД,138018.2,117315.47,1,"BINER" OOD,
Bulgaria,Blagoevgrad Province,ТРУДОВО ПРОИЗВОДИТЕЛНА КООПЕРАЦИЯ "НОВ СВЯТ",111245.32,94558.52,1,TRUDOVO PROIZVODITELNA KOOPERATsIYa "NOV SVYaT",
Bulgaria,Blagoevgrad Province,АРБОТРЕЙД ЕООД,139219.8,90638.78,3,ARBOTREYD EOOD,
